Myr_before_present,Time_period _in_10ky,Ts_C,SL_m,delta_LGM_temperature,Scaling_factor
0.02,2,9.46,-118.8,0,0
0.03,3,10.57,-91.2,1.11,0.25
0.04,4,10.84,-84.7,1.38,0.310810811
0.05,5,10.67,-88.9,1.21,0.272522523
0.06,6,11,-80.6,1.54,0.346846847
0.069,7,11.35,-72,1.89,0.425675676
0.08,8,12.74,-37.5,3.28,0.738738739
0.09,9,12.2,-50.9,2.74,0.617117117
0.1,10,12.74,-37.4,3.28,0.738738739
0.109,11,12.41,-45.7,2.95,0.664414414
0.12,12,14.52,2,5.06,1.13963964
0.131,13,11.83,-60.1,2.37,0.533783784
0.14,14,9.97,-106.2,0.51,0.114864865
0.151,15,10.13,-102.1,0.67,0.150900901
0.16,16,10.37,-96.3,0.91,0.204954955
0.171,17,11.27,-73.9,1.81,0.407657658
0.18,18,11.05,-79.4,1.59,0.358108108
0.19,19,12.71,-38.3,3.25,0.731981982
0.2,20,13.52,-18,4.06,0.914414414
0.2115,21,13.23,-25.3,3.77,0.849099099
0.22,22,12.85,-34.8,3.39,0.763513514
0.229,23,12.29,-48.6,2.83,0.637387387
0.24,24,13.56,-17,4.1,0.923423423
0.2493,25,10.57,-91.3,1.11,0.25
0.26,26,11.15,-76.8,1.69,0.380630631
0.27,27,10.75,-86.8,1.29,0.290540541
0.28,28,12.27,-49.2,2.81,0.632882883
0.29,29,12.31,-48.2,2.85,0.641891892
0.3,30,11.35,-71.8,1.89,0.425675676
0.3105,31,13.09,-28.6,3.63,0.817567568
0.32,32,13.33,-22.8,3.87,0.871621622
0.3292,33,13.86,-9.6,4.4,0.990990991
0.34,34,11.66,-64.2,2.2,0.495495495
0.3503,35,10.54,-92.1,1.08,0.243243243
0.36,36,11.3,-73.2,1.84,0.414414414
0.3716,37,11.56,-66.8,2.1,0.472972973
0.38,38,11.93,-57.5,2.47,0.556306306
0.3898,39,12.82,-35.5,3.36,0.756756757
0.4,40,14.15,-2.5,4.69,1.056306306
0.41,41,13.59,-16.3,4.13,0.93018018
0.42,42,11.87,-59,2.41,0.542792793
0.43,43,10.22,-99.9,0.76,0.171171171
0.44,44,9.83,-109.7,0.37,0.083333333
0.45,45,10.17,-101.1,0.71,0.15990991
0.46,46,10.82,-85.1,1.36,0.306306306
0.471,47,10.64,-89.6,1.18,0.265765766
0.48,48,11.65,-64.6,2.19,0.493243243
0.49,49,13.23,-25.2,3.77,0.849099099
0.5,50,12.42,-45.4,2.96,0.666666667
0.511,51,12.01,-55.6,2.55,0.574324324
0.52,52,11.7,-63.1,2.24,0.504504505
0.53,53,11.73,-62.5,2.27,0.511261261
0.54,54,11.4,-70.6,1.94,0.436936937
0.55,55,10.61,-90.3,1.15,0.259009009
0.56,56,11.76,-61.8,2.3,0.518018018
0.5707,57,12.72,-38,3.26,0.734234234
0.58,58,12.94,-32.6,3.48,0.783783784
0.5898,59,12.71,-38.1,3.25,0.731981982
0.6,60,12.68,-39,3.22,0.725225225
0.61,61,12.63,-40.3,3.17,0.713963964
0.62,62,12.78,-36.4,3.32,0.747747748
0.63,63,10.13,-102.1,0.67,0.150900901
0.64,64,10.18,-100.8,0.72,0.162162162
0.649,65,10.54,-92.1,1.08,0.243243243
0.66,66,10.58,-91.1,1.12,0.252252252
0.668,67,11.06,-79,1.6,0.36036036
0.68,68,11.57,-66.3,2.11,0.475225225
0.69,69,13.24,-25,3.78,0.851351351
0.7,70,12.99,-31.3,3.53,0.795045045
0.712,71,11.38,-71.1,1.92,0.432432432
0.72,72,10.79,-85.8,1.33,0.29954955
0.73,73,11.56,-66.8,2.1,0.472972973
0.74,74,11.62,-65.2,2.16,0.486486486
0.7513,75,10.99,-80.9,1.53,0.344594595
0.76,76,10.93,-82.3,1.47,0.331081081
